,x1,x2,x3,u1,u2
0,0.1961,0.3243,0.26,2.8e-05,2.8e-05
1,0.19607436940357895,0.32427617954982085,0.2600444345762092,2.8e-05,2.8e-05
2,0.19602915899496773,0.3242385570002104,0.2601178973572862,2.8e-05,2.8e-05
3,0.19596492371182647,0.32418740434973187,0.260219687519389,2.8e-05,2.8e-05
4,0.19591758656812094,0.324148977240944,0.26029530848608023,2.8e-05,2.8e-05
5,0.19590869095049507,0.3241390486396052,0.26031206408806074,2.8e-05,2.8e-05
6,0.19594540061827084,0.32416290883467364,0.26025905856316955,2.8e-05,2.8e-05
7,0.1960204997034484,0.32421536543830703,0.26014719655638396,2.8e-05,2.8e-05
8,0.19611239271070605,0.3242807433858628,0.2600091831198196,2.8e-05,2.8e-05
9,0.19618510451740018,0.324332884935898,0.2598995237127301,2.8e-05,2.8e-05
10,0.1961882803735653,0.3243351496701694,0.2598945242015077,2.8e-05,2.8e-05
11,0.1961080966961347,0.3242768025695865,0.26001579626918964,2.8e-05,2.8e-05
12,0.1960228030662606,0.3242138882323141,0.2601455887466406,2.8e-05,2.8e-05
13,0.19597412052550545,0.32417691084345335,0.2602204717314047,2.8e-05,2.8e-05
14,0.19598028697761807,0.3241794123767058,0.2602125234930746,2.8e-05,2.8e-05
15,0.19603635930666855,0.32421818593168644,0.26012887925970285,2.8e-05,2.8e-05
16,0.19611421337704826,0.32427327573392334,0.26001173121780224,2.8e-05,2.8e-05
17,0.1961625440334698,0.324307977134858,0.25993832851234566,2.8e-05,2.8e-05
18,0.19612804149294988,0.3242839323701807,0.2599891501277362,2.8e-05,2.8e-05
19,0.19608464549423268,0.3242533950908046,0.26005352365070034,2.8e-05,2.8e-05
20,0.19605899064175822,0.3242351014906314,0.2600916724135102,2.8e-05,2.8e-05
21,0.19605313946204017,0.3242305035866583,0.2601005119277249,2.8e-05,2.8e-05
22,0.1960600875263726,0.3242348179175246,0.2600903499838598,2.8e-05,2.8e-05
23,0.19606376345082993,0.3242370255435122,0.26008488665138735,2.8e-05,2.8e-05
24,0.1969727974608323,0.3238818207288236,0.2599314165418083,3.4609734803264744e-05,2.2402725344777283e-05
